Frequency_Hz,Amplitude_d1,Phase_rad_d1
60000.0,2.32274918701196e-06,2.5822504238270407
60333.333333333336,7.019885403358696e-07,-1.163254995992154
60666.666666666664,2.671605639668045e-06,1.5416446030382691
61000.0,3.865988449965089e-06,2.3909508142537357
61333.333333333336,6.749562702094832e-07,-2.807786087319321
61666.666666666664,3.753719348337579e-06,2.8580953576106296
62000.0,4.386141174647334e-06,1.5580657308849621
62333.333333333336,2.0025830845167373e-06,-0.7912388753953498
62666.666666666664,2.7460196852687748e-06,1.1075568410895709
63000.0,4.651194769131969e-06,0.24625789900790807
