Frequency_Hz,Amplitude_d1,Phase_rad_d1,Amplitude_d3,Phase_rad_d3
61000.0,5.161125504470416e-06,2.8957162379947206,1.1725564481471694e-05,1.1301728927227865
61555.555555555555,5.367460902351453e-06,2.383874468743676,1.3865598176314209e-05,0.4438577150200641
62111.11111111111,3.524092659267633e-06,-2.4886568969267673,2.0337567468877005e-05,1.1874724300373496
62666.666666666664,8.241677379454792e-06,-1.974703767485079,1.4292966544993276e-05,-3.139762429189096
63222.22222222222,8.766789865472072e-06,-1.736764686494668,1.4516872096741534e-05,1.5878470455372273
63777.77777777778,5.171128277585426e-06,-0.38912405312868703,1.4070076645523748e-05,-2.0575163551321785
64333.333333333336,2.262471102221423e-06,-2.640556826678724,7.02245989454222e-06,1.7020183140950584
64888.88888888889,3.631453637223889e-06,-1.5546769379335428,9.16520078963042e-06,-2.9324802726870147
65444.444444444445,4.7178534084432106e-06,-2.180637528477773,4.834323302454201e-06,1.0646965003900573
66000.0,2.485239781047851e-06,-1.8482565022524624,4.0884264034289416e-06,1.3080419495514126
