Frequency_Hz,Amplitude_d1,Phase_rad_d1,Amplitude_d2,Phase_rad_d2,Amplitude_d3,Phase_rad_d3
188399.99999968882,3.5685879626498104e-06,-1.8250970741314105,3.486276683546853e-06,-1.5293347670377981,6.199747403050385e-07,1.1438534766925663
188401.00166936935,5.368832590940752e-06,-1.4298282489016927,1.523729752332863e-05,2.012638819673199,9.445879889619405e-08,-1.4867356589252418
188402.00333904987,1.0821107012854204e-05,-1.3808088150991567,1.6744551124543708e-05,1.1846925307693588,6.182830141214411e-07,-1.1991569935922506
188403.00500798435,7.8155382130507e-06,-0.12915929027551004,1.114957362616754e-05,-0.4821248716388695,4.823790733059715e-07,-0.5143605398784447
188404.00667766487,1.3062935647210915e-05,-0.6348197848134013,1.3618291657231737e-05,0.6447575766866603,5.326579026344856e-07,1.9372936265165288
188405.00834734543,1.2270755488054389e-05,-0.5294490656292725,1.9209875002159414e-05,0.347482985139738,3.199917471787731e-07,-0.8458262395813582
188406.01001702595,1.952966628853712e-05,-0.6443792270570118,2.4535247099471304e-05,0.5163506923248435,3.3286397581100943e-07,0.44651937706155614
188407.0116859604,1.4586538299817856e-05,-1.369900318815412,1.208049608777951e-05,1.0633570302638833,3.0775087797027046e-07,-0.10333062250494617
188408.01335564096,1.2065881621967119e-05,-1.286417680718106,1.4439918017006004e-05,1.3756906073951174,2.6949290572058365e-07,0.47848826038973263
188409.01502532148,1.2392608247284497e-05,-0.6134814729577315,1.4621894365078737e-05,0.22926954000035688,3.446133916153985e-07,1.7746645250796589
188410.01669425593,1.2505099052237124e-05,-1.0683732774986388,1.2809650721771084e-05,1.4978901030596123,2.0214839509729512e-07,-1.0915117644355206
188411.01836393648,1.455606618068263e-05,-1.6173755253287851,1.928694462568216e-05,1.730629091876944,5.187936732631584e-07,-2.01626611746706
188412.020033617,1.3852286142020276e-05,-0.7477573515907128,1.3122935547773927e-05,0.6836559989557872,4.73487543558373e-07,1.7379823492903117
188413.0217025515,1.6055236941119053e-05,-1.1164869277168379,1.6921903683392294e-05,1.262085136349548,2.0083915720596467e-07,-1.679181109495778
188414.023372232,1.164712584587894e-05,-0.4135152495706583,1.4951253994508529e-05,0.67037329876951,4.782136526320088e-07,-0.8758065982536613
188415.02504191254,1.6481912782981066e-05,-1.3332502844771663,2.4277296137160385e-05,1.4143222355863743,2.47444147371213e-07,1.269626794282945
188416.026710847,1.177755993687052e-05,-1.7169869764319734,1.4683708786211758e-05,1.9181545639815927,4.554689298862884e-07,0.45115326860643257
188417.02838052754,8.148852575067786e-06,-1.4632237202955913,3.682446515844112e-06,1.4979277175569123,1.8113985790977483e-07,1.484438300471933
188418.03005020806,1.7634985634150137e-05,-0.8702857240751588,2.6618584502663177e-05,0.8997772398780539,3.531819736401622e-07,1.6312799492252803
188419.03171988862,5.6994300695683e-06,-0.9799536149181152,6.762407951506607e-06,0.7491804737360449,2.6895665617390104e-07,-1.0180412644443597
188420.03338882307,1.0009554650187875e-05,-0.5798467126588656,1.2591089588507455e-05,0.812030549428123,3.153383881977081e-07,-1.6341665341846068
188421.0350585036,9.425352547319536e-06,-0.678766158855253,1.3311984644458858e-05,0.5710190100963495,2.9480069106223737e-07,0.23139251178297257
188422.03672818415,9.336865181461967e-06,-0.5896675087654528,1.1336810146015533e-05,0.25963056650338984,2.287513613250341e-07,0.39839387838253354
188423.0383971186,4.182385876038277e-06,-0.5978565745025275,4.564515053525576e-06,0.3622402519646456,7.012852160291096e-07,1.033300459090045
188424.04006679915,6.7706542872606135e-06,-1.628879735645663,6.591538225397945e-06,1.086527598341219,1.1286033508645072e-06,1.141790972612012
188425.04173647967,6.6163645382479034e-06,-0.8226961271855915,3.4194359081645815e-06,0.354127370737894,3.0782493664985535e-07,0.47296829956603115
188426.04340541412,1.7408731000165225e-05,-0.926844155074407,2.455903141281758e-05,0.8606374367775788,3.1825923321609003e-07,-1.4435595605616198
188427.04507509468,7.967508220133412e-06,-0.5481122309784169,1.03603805399996e-05,0.17980939138715438,2.0389436372630508e-07,-1.180449136242632
188428.0467447752,1.277246465932658e-05,-1.0055167353926975,1.7238257692947706e-05,0.9490567233012415,3.5600288697852676e-07,0.14857737168329044
188429.04841370968,1.1979139009611005e-05,-0.8134609357260995,1.657188848385031e-05,0.7323799021083188,4.1180989992971266e-07,-0.9772816769054053
188430.0500833902,1.8148925641752815e-05,-1.3204146862565411,2.2396952839802374e-05,1.202598611629606,1.750843611043063e-07,-0.18867190449522336
188431.05175307073,1.5766324570341772e-05,-2.0640952953660907,2.6129096969583056e-05,2.211590137437516,1.5414611269284417e-07,0.13825771565462505
188432.0534220052,1.2432500075263194e-05,-1.2942011839315277,1.0453599420527636e-05,1.1020789666135549,5.211296878757342e-07,-0.9496333178369172
188433.05509168573,9.702657086272427e-06,-0.8663174972600116,7.716642095870574e-06,0.904197107237169,2.9557337495766853e-07,1.124810978570121
188434.05676136626,1.162954579831133e-05,-1.1060806659972782,1.818712991892297e-05,1.134225907034942,3.0767839909197833e-07,-0.8140678062028178
188435.0584310468,1.53784118717609e-05,-1.9052621878468408,2.2724245664062048e-05,1.716222312295423,8.25203087928951e-07,0.899719487045758
188436.06009998126,1.6620428876102882e-05,-0.8589159603198946,1.948679683818508e-05,0.8276677399814211,1.0744826610789499e-07,0.6930321289792126
188437.06176966178,1.113315942532966e-05,-1.5262127673512205,9.910053954796787e-06,1.6699954561867978,3.7562752504153596e-07,-0.8401908336630166
188438.06343934234,1.0887865245894576e-05,-0.44108738737472586,1.4970862535250296e-05,0.5810479294978345,2.3954676307352024e-07,1.7825070744670202
188439.0651082768,1.6894088314774792e-05,-1.2108045818138606,1.5493362390032423e-05,1.3674298797544016,2.509410856803916e-07,1.5386394937460965
188440.0667779573,1.1504079157071198e-05,-1.297856857299661,1.0721306801359836e-05,1.6890342461683452,6.861203347536941e-07,-0.20883094560647505
188441.06844763787,7.266422053262926e-06,-1.0803363115356994,1.0978844541302252e-05,0.820446011743609,7.389948784242369e-07,0.2373922184209484
188442.07011657231,1.4549698338599586e-05,-1.1227634690897137,1.106166798897555e-05,1.354630784853558,5.163967763118129e-07,0.9364574786960579
