,Frequency_Hz,Amplitude,Phase_rad
37,54335.432884065216,8.090952007183549e-05,-0.3551556278780824
38,54344.52749756885,8.034926531953995e-05,-0.35908624127415495
39,54353.62363332021,8.065733510691627e-05,-0.35804863610225207
40,54362.72129157429,8.12361730119102e-05,-0.3522013172276786
41,54371.82047258584,8.039282241076248e-05,-0.3599269747536025
42,54380.92117660972,8.080658144234315e-05,-0.3571840046454581
43,54390.02340390085,8.072853864486884e-05,-0.3565266441138567
44,54399.1271547142,8.103269260685993e-05,-0.3511335022761673
45,54408.23242930467,8.038487417125004e-05,-0.3616174835897753
46,54417.33922792752,8.058584312983868e-05,-0.35608991723954275
47,54426.44755083773,8.042964958408979e-05,-0.35633009313717817
48,54435.55739829044,8.046698183782506e-05,-0.35018736534448125
49,54444.668770540826,8.144803515035143e-05,-0.35820677683092456
50,54453.7816678441,8.036937057194401e-05,-0.35979430871105833
51,54462.89609045542,8.064016905745774e-05,-0.3552749517229056
52,54472.01203863031,8.110109058281566e-05,-0.35374824673479977
53,54481.12951262401,8.109467719316743e-05,-0.35701508572165663
54,54490.2485126919,8.096852493605884e-05,-0.35731933121595333
55,54499.369039089426,8.123611823159404e-05,-0.3546859326890848
56,54508.49109207206,8.04846324992036e-05,-0.358733047462108
57,54517.61467189519,8.092558290705276e-05,-0.3597046486954598
58,54526.73977881463,8.093340400873565e-05,-0.3558839510179708
59,54535.86641308586,8.132066638394805e-05,-0.3577593008929024
60,54544.99457496452,8.052577216284849e-05,-0.3538033618645987
61,54554.12426470631,8.120898556014601e-05,-0.36069702472064974
62,54563.25548256695,8.100011030777048e-05,-0.3608144685992129
63,54572.38822880212,8.080847544155375e-05,-0.35905268098869114
64,54581.522503667846,8.084471792395793e-05,-0.35807442197132505
65,54590.658307419886,8.071457642687922e-05,-0.3544080776110953
66,54599.795640314136,8.124001272601371e-05,-0.35856909993011715
67,54608.93450260655,8.12323518564938e-05,-0.350884046735605
68,54618.074894553116,8.093904052947431e-05,-0.3588700117319894
69,54627.216816409746,8.094898004024473e-05,-0.35510674324231156
70,54636.36026843275,7.996438288352261e-05,-0.3570556757841968
71,54645.50525087813,8.05614452427067e-05,-0.35790421693658797
72,54654.65176400205,8.119439038663389e-05,-0.3608731830586381
