,Frequency_Hz,Amplitude,Phase_rad
0,60000.0,2.2444828670457568e-05,-0.4160804103456443
1,60009.70582571333,2.1849234289932165e-05,-0.05498737606825296
2,60019.41322147763,2.3444345498334635e-05,-0.28919303336942476
3,60029.12218754667,2.306775998119311e-05,-0.2975919389977724
4,60038.8327241747,2.106789989455607e-05,-0.10694674587078014
5,60048.54483161555,2.3195567633524952e-05,-0.37258060169090196
6,60058.25851012356,2.3326560473195846e-05,-0.35787393471972606
7,60067.97375995262,2.225599447727782e-05,-0.3269254809112697
8,60077.69058135716,2.363340324984004e-05,-0.334827860763722
9,60087.40897459116,2.432353067203755e-05,-0.39230669101037763
10,60097.12893990914,2.2935004463351157e-05,-0.1962151861686414
11,60106.850477565145,2.3660136690100957e-05,-0.43194194604853436
12,60116.573587813786,2.511052300293745e-05,-0.5159650035956743
13,60126.29827090918,2.5063730790702743e-05,-0.4661371951705707
14,60136.02452710603,2.543406722443671e-05,-0.4929308677448739
15,60145.752356658544,2.2455428845252872e-05,-0.3645128112970121
16,60155.48175982149,2.271935078235195e-05,-0.2336214643434243
17,60165.21273684916,2.170592798176492e-05,-0.16819081942509756
18,60174.945287996285,2.2668039226038152e-05,-0.21858280315489192
19,60184.67941351762,2.2107460688388825e-05,0.16718871872271016
20,60194.415113667594,2.2861451699557644e-05,-0.30561496257126963
21,60204.15238870117,2.185451232006354e-05,-0.2724478632159772
22,60213.891238872864,2.2697467760607225e-05,-0.38782937562400477
23,60223.63166443772,2.1642123059401845e-05,-0.21273452849416738
24,60233.37366565034,2.093397269399169e-05,-0.09866785505131002
25,60243.117242765846,2.2923264607611125e-05,-0.002202087520705323
26,60252.862396038916,2.3006151477996365e-05,-0.3119029067582833
27,60262.60912572476,2.1663587125576373e-05,-0.08505055716348392
28,60272.35743207815,2.0977501521892106e-05,-0.10459152985218384
29,60282.10731535436,2.1438007247598298e-05,-0.24282519766699479
30,60291.85877580825,2.3053819950427994e-05,-0.061853103592616455
