Frequency_Hz,Amplitude_d1,Phase_rad_d1,Amplitude_d2,Phase_rad_d2,Amplitude_d3,Phase_rad_d3
62399.99999998247,6.018307419557532e-06,1.0477172164498993,6.1487484280585054e-06,-1.3316814261107612,1.0170458885627028e-06,0.427051624377183
62400.5012529949,5.8922900173660665e-06,0.4956816738149753,5.683746348724714e-06,-1.0738203379039735,1.8954531673898082e-07,1.3591852077269384
62401.00250600733,3.2609342547093002e-06,0.6848021155492695,4.284554170229892e-06,-0.7572115277994605,8.769050915157844e-07,0.7763453370696961
62401.50375976583,6.031701677352982e-06,1.3154079171164688,7.249128659996283e-06,-1.5183096976848793,3.12026504540325e-07,-1.8436982257540782
62402.00501277826,4.924207934584601e-06,0.5287220883499025,3.3062650930953004e-06,-1.3176386255903592,7.091279737855741e-07,2.26958047822051
62402.50626579069,6.320340124961155e-06,1.1880829081314122,6.318385095724251e-06,-1.267501018232005,1.4397224709337288e-06,-0.9550701033777739
62403.00751880312,1.3989534052387692e-05,1.207605328611316,1.5742321764442746e-05,-1.0345073344551001,4.178585470285417e-07,0.03182429919693252
62403.508771815556,3.5943882958655305e-05,0.9215197725019504,4.0237388994395825e-05,-0.9561630095819927,7.851960746769941e-07,-2.8918778614574636
62404.010024827985,3.842705132472137e-05,0.8676565219124571,4.278495152366444e-05,-0.8858022747462607,6.50354236257464e-07,-0.8219779022249274
62404.511277840415,4.253055155140852e-05,1.0153624148179679,5.0541327557574797e-05,-1.018219014029949,5.501712227153087e-07,-1.2953896017303714
62405.01253159891,3.936808124597654e-05,0.8527194359045682,4.402977354081319e-05,-0.8823770679128712,8.379148251307205e-07,-1.3031348822599345
62405.51378461134,4.7289295358281426e-05,1.0612399986423142,5.426145702599095e-05,-1.040009296297783,5.897296677513315e-07,0.5665788243856055
62406.01503762377,4.489422743159387e-05,0.8600770489982513,4.992890349641904e-05,-0.9021348427263781,5.161442679761594e-07,-0.856162908300049
62406.5162906362,3.6438544471570036e-05,0.9643647351194026,4.22431666626739e-05,-1.02156015780822,1.0047295879722544e-06,-0.14356504678596227
62407.01754364863,5.0411985786918155e-05,0.9983878730191356,5.637048528983467e-05,-0.9805985227991514,1.9834983199167051e-07,-0.9985693318864571
62407.51879666107,4.5280963889552735e-05,0.9550465975784711,5.144870366784139e-05,-0.927565031377229,1.108159874076025e-06,-1.1882518745277162
62408.02005041957,4.245937675628569e-05,0.9762995106795151,4.880322411908064e-05,-0.9984742437133245,3.241220020998074e-07,1.4480551336364953
62408.521303432,4.908316849820825e-05,0.9201971147182764,5.545074417767718e-05,-0.9442472608698691,6.393520360049944e-07,-1.8474311858071892
62409.022556444426,4.839357530289464e-05,0.782966192348936,5.5867738998832986e-05,-0.801842764911159,7.068746845639082e-07,-2.7429999240294185
62409.523809456856,4.493366141570919e-05,0.8188181803764107,5.149455308006146e-05,-0.8030480237648271,1.0736290649242128e-06,-0.883273934621428
62410.025062469285,5.677733542176468e-05,0.9183249318025583,6.505051650609058e-05,-0.9495079564929596,9.540631406541746e-07,-2.699151807682641
62410.526315481715,5.0981362360134755e-05,0.7985421272627659,5.773239047053289e-05,-0.808493285501144,5.574779036657564e-07,-0.2240930466242339
62411.02756924022,6.103245345090229e-05,1.0439779619453697,7.042783084967425e-05,-1.0451008020655435,9.706228421480058e-07,2.7233248796323988
62411.52882225265,5.452961254060665e-05,1.1453995874188043,6.243838554791639e-05,-1.140401068343975,5.829458423946871e-07,-1.2621002518573239
62412.03007526508,5.7347981406458526e-05,0.9994840444267962,6.333438262415789e-05,-1.0029332799411061,4.961074053475163e-07,-1.529728778085452
62412.53132827751,6.271096324992092e-05,1.0370943159962658,7.173527615650222e-05,-1.042814038840679,4.148879419866323e-07,1.302911314589147
62413.03258128994,5.997161169848765e-05,0.9537664251083365,6.797816478991024e-05,-0.9580794164821423,5.81733688023943e-07,-2.0376724049398085
62413.53383430237,6.841379732118474e-05,0.7352271524881624,7.600013086016892e-05,-0.749463049943355,6.029020121904266e-07,-1.1197725213857044
