,Frequency_Hz,Amplitude,Phase_rad
184,61812.566626187036,5.6084075540395364e-05,-0.5498327572296853
185,61822.56565949646,5.68163276423561e-05,-0.5607507479542948
186,61832.56631028726,5.767210926190925e-05,-0.5748242801218169
187,61842.568578820814,5.814445810941673e-05,-0.5687167373418597
188,61852.57246535909,5.842499474975529e-05,-0.5825384782834266
189,61862.577970163555,5.8630726144902426e-05,-0.5788466397708808
190,61872.58509349625,5.82269870201857e-05,-0.5842637355607259
191,61882.59383561873,6.0170752560784016e-05,-0.591093512569864
192,61892.604196792985,5.9340812682063976e-05,-0.5891670464493284
193,61902.61617728105,6.0026078791954085e-05,-0.5886351597020637
194,61912.62977734462,6.017766683262572e-05,-0.6042218045896063
195,61922.64499724593,6.045805261846642e-05,-0.6015350756838601
196,61932.661837246764,6.055604305469441e-05,-0.6001759743026768
197,61942.68029760944,6.0248155492154725e-05,-0.6030932136532949
198,61952.70037859583,6.093610703903462e-05,-0.604028741067491
199,61962.72208046834,6.214104121188872e-05,-0.6076598162331082
200,61972.745403488916,6.202083459930517e-05,-0.622002150793216
201,61982.77034792006,6.0660744870759947e-05,-0.5998699581102206
202,61992.7969140238,6.177617769916625e-05,-0.6169258752789802
203,62002.825102062714,6.135405441521641e-05,-0.617706215071396
204,62012.85491229893,6.274470152208659e-05,-0.6347092781145754
205,62022.88634499511,6.267699695154159e-05,-0.6360999728427718
206,62032.91940041345,6.279966046627449e-05,-0.62625757608686
207,62042.9540788167,6.373027285998167e-05,-0.634073092962405
208,62052.990380467156,6.349889508670711e-05,-0.6296564191744405
209,62063.02830562752,6.427840400672586e-05,-0.6342928111681778
210,62073.06785456055,6.412378856122357e-05,-0.6461066916777436
211,62083.109027528655,6.39103692480316e-05,-0.6433733187035686
212,62093.1518247948,6.435566954324072e-05,-0.6455201122249855
213,62103.196246621475,6.242326631255227e-05,-0.6380036312328405
214,62113.242293271745,6.387865187091655e-05,-0.6476324930911679
215,62123.28996500819,6.46447579309277e-05,-0.6587325472485835
216,62133.339262093934,6.470096592439489e-05,-0.6646828457802282
217,62143.39018479166,6.509319036476294e-05,-0.6579898278125874
218,62153.44273336457,6.473311588917334e-05,-0.6600334904895518
219,62163.49690807543,6.414670436954753e-05,-0.6596257204345937
220,62173.55270918754,6.467476204263838e-05,-0.6661259243245733
221,62183.61013696375,6.590283023746587e-05,-0.6688950245056425
222,62193.669191667424,6.501046842302738e-05,-0.667336966018249
223,62203.729873561504,6.60383073841628e-05,-0.6698429740559476
224,62213.79218290947,6.623812267477023e-05,-0.6762472465201758
225,62223.85611997431,6.579003043495668e-05,-0.6836300105111798
226,62233.92168501948,6.65529655494261e-05,-0.6774662449563045
227,62243.98887830844,6.74717908541253e-05,-0.6757422836008015
228,62254.057700104335,6.802990063559979e-05,-0.6889943402960156
229,62264.12815067084,6.626070701567389e-05,-0.6860405421513103
230,62274.20023027119,6.643925154690546e-05,-0.6895933889699493
231,62284.27393916916,6.720460187946352e-05,-0.6905221390118074
232,62294.34927762804,6.742164330178401e-05,-0.6973378442654694
233,62304.4262459117,6.635800610823995e-05,-0.6980609300201822
234,62314.50484428353,6.748230548285191e-05,-0.7021641505443327
