,Frequency_Hz,Amplitude,Phase_rad
96,54874.62794930695,8.434910580489145e-06,-0.33402867755143273
97,54883.81281277201,8.329923593454042e-06,-0.3601126640185675
98,54892.99921359085,8.576161370362501e-06,-0.3337240217136809
99,54902.18715202068,8.238008675448661e-06,-0.3356453306155339
100,54911.376628319085,8.289275261182821e-06,-0.3864872275471012
101,54920.567642743365,8.528827512458439e-06,-0.37046009596971663
102,54929.760195550974,8.760305774673298e-06,-0.34605299442831783
103,54938.954286999404,8.45027695766535e-06,-0.34412633382078167
104,54948.149917346185,8.421668280379578e-06,-0.3731660216600354
105,54957.347086848786,8.747152618513733e-06,-0.3110237781922738
106,54966.54579576506,8.489170667686768e-06,-0.35195025146001513
107,54975.74604435255,8.626216386253391e-06,-0.3255367845421108
108,54984.947832868966,8.716540478133043e-06,-0.31385949558067455
109,54994.151161572074,8.432878094431609e-06,-0.326537998529107
110,55003.35603071965,8.51718884483636e-06,-0.4276961390472369
111,55012.56244056944,8.22378769849533e-06,-0.389995276152397
112,55021.770391379534,8.753809199323866e-06,-0.3339606239704709
113,55030.979883407745,8.208336270869494e-06,-0.3236788414465789
114,55040.19091691205,8.03739502263625e-06,-0.3718728749705946
115,55049.40349215045,8.422571986966907e-06,-0.4070250605187261
116,55058.617609381006,8.804138287001835e-06,-0.2900216775046011
117,55067.8332688617,8.42446787279403e-06,-0.3653193301175828
118,55077.0504708509,8.266174570265932e-06,-0.30762999044418277
119,55086.26921560668,8.156702057832621e-06,-0.34308422497981883
120,55095.48950338725,7.99078442833198e-06,-0.342150798915999
121,55104.7113344509,8.159077942680709e-06,-0.37177566009641805
122,55113.934709055924,8.710777238684765e-06,-0.4150554268296625
123,55123.15962746058,8.043256515768807e-06,-0.3303901991044351
124,55132.3860899235,8.753181169690304e-06,-0.3378653003871066
125,55141.61409670299,7.965756413196704e-06,-0.3181732298241564
126,55150.84364805756,8.00411539561415e-06,-0.40289463698169614
127,55160.07474424573,8.845804975802154e-06,-0.3599284741765421
128,55169.30738552607,8.686654342922864e-06,-0.33139966964596784
129,55178.54157215709,8.544841149380607e-06,-0.3496005714647921
130,55187.77730439766,8.470113448170371e-06,-0.36314388068065967
131,55197.014582506396,8.750457864091313e-06,-0.3169442638355445
132,55206.25340674202,7.878158673656011e-06,-0.36009238974941543
133,55215.49377736333,8.329720727468012e-06,-0.33497478834883676
134,55224.735694629155,8.152689693461768e-06,-0.3034904888634042
135,55233.97915879827,8.607570344283978e-06,-0.3339693130955019
136,55243.224170129804,8.726334468879351e-06,-0.3446558124926827
137,55252.47072888262,8.265660633098361e-06,-0.34288782970248155
138,55261.71883531571,8.446139710170348e-06,-0.29273604471592873
139,55270.96848968814,8.311227817047532e-06,-0.32666210955366964
140,55280.21969225899,8.358375686151884e-06,-0.39546240124136023
141,55289.47244328728,7.928706176100929e-06,-0.3680343049701657
142,55298.726743032435,8.306551866506513e-06,-0.33175849987904965
143,55307.98259175355,8.410362576781996e-06,-0.33565634209541195
144,55317.23998970989,8.364020229960073e-06,-0.35287224129459693
145,55326.498937160766,8.490860626189314e-06,-0.33590841111313147
146,55335.75943436554,8.412633730780372e-06,-0.3297740048479018
147,55345.02148158348,8.993502554917044e-06,-0.3611217828212864
148,55354.28507907426,8.300053996487977e-06,-0.32473338547148073
149,55363.55022709725,7.85848111098777e-06,-0.3555016041734222
150,55372.81692591198,8.614200831244553e-06,-0.34707925231371684
151,55382.08517577802,7.85532694311984e-06,-0.3990179422861163
152,55391.35497695497,8.704319874061448e-06,-0.29983536102764746
153,55400.6263297024,8.100084732941358e-06,-0.3166428473484258
154,55409.89923428021,8.06000976572532e-06,-0.3259325667931819
155,55419.17369094804,8.231721109278301e-06,-0.36965168464957093
156,55428.44969996568,8.286258895635538e-06,-0.3786261712620732
157,55437.72726159296,8.148463386323203e-06,-0.3238538396589388
158,55447.006376089754,8.31793342330439e-06,-0.39231525947124557
159,55456.28704371587,8.337624332802088e-06,-0.33795176643679176
160,55465.569264731486,8.912818065794478e-06,-0.317229141417981
161,55474.853039396505,8.278555123379508e-06,-0.3499718305389214
162,55484.13836797097,8.513738793938645e-06,-0.340566734983837
163,55493.42525071497,8.267270543385772e-06,-0.28443880768358226
164,55502.71368788865,8.798484953825047e-06,-0.3790726731869548
165,55512.003679752066,8.334770444542211e-06,-0.36788770709636515
166,55521.29522656567,8.362356173071014e-06,-0.37824519613044977
167,55530.58832858962,8.022858438256049e-06,-0.35254876541665037
168,55539.882986084216,8.508464029260468e-06,-0.3581548326987027
169,55549.179199309816,8.210424633955718e-06,-0.35086757753767434
170,55558.47696852682,8.067973779427644e-06,-0.3641287867683924
171,55567.77629399554,8.629827623696069e-06,-0.3930046190424857
172,55577.077175976716,8.543714493267696e-06,-0.34855383020745306
173,55586.37961473074,8.787440901777121e-06,-0.37231122487888696
174,55595.68361051818,8.426951865675394e-06,-0.35655268546406427
175,55604.98916359966,8.580071445057587e-06,-0.3487441088347484
176,55614.29627423584,8.135570880771779e-06,-0.34950853941893156
177,55623.604942687314,8.463783442136386e-06,-0.34298484841135984
178,55632.91516921503,8.247046235028776e-06,-0.3243048379571054
179,55642.2269540797,8.402781721115174e-06,-0.38115114120334326
180,55651.540297542124,8.054743418710778e-06,-0.4093087050084444
181,55660.855199863196,8.43628817433533e-06,-0.38028340210156
182,55670.17166130383,8.181184308563373e-06,-0.2906585781595136
183,55679.48968212488,8.746171343116582e-06,-0.36630716028536164
184,55688.80926258757,8.562204657006738e-06,-0.34607388186513954
185,55698.13040295286,8.541326888431478e-06,-0.39037291649309236
186,55707.45310348183,8.444853757703402e-06,-0.3472198756750741
187,55716.77736443562,8.10377079295607e-06,-0.32346175715850706
188,55726.10318607541,8.092290606692498e-06,-0.35472065578989914
189,55735.43056866232,8.259875287386844e-06,-0.3353784472127186
190,55744.75951245784,8.436125015027004e-06,-0.3550218185850251
191,55754.09001772317,8.31508076093283e-06,-0.3108216300692639
192,55763.42208471967,8.264586717914701e-06,-0.31012451316311684
193,55772.75571370875,8.718576924257704e-06,-0.33174927215358796
194,55782.09090495184,8.851061280208942e-06,-0.38962454690532433
195,55791.42765871032,8.702747541418917e-06,-0.3658678192171935
196,55800.76597524595,8.114410786998624e-06,-0.3820187482711323
197,55810.1058548202,8.545837413751415e-06,-0.38174583477255647
198,55819.44729769468,8.720031696287999e-06,-0.3833969451667212
199,55828.79030413106,7.993315731730543e-06,-0.2977634572187462
200,55838.134874391035,8.07253812863433e-06,-0.3549232047969706
201,55847.48100873626,8.413944520012662e-06,-0.34417823303720585
202,55856.828707428744,8.773294093191784e-06,-0.34320425393914455
203,55866.17797073022,8.597232123092028e-06,-0.30570948645585966
204,55875.52879890257,8.659362304053249e-06,-0.37574567864497627
205,55884.881192207715,8.082214839380908e-06,-0.3617214092145284
206,55894.23515090763,8.749123494906755e-06,-0.4078698558554329
207,55903.590675264226,8.55086662403225e-06,-0.390954298235599
208,55912.94776553977,8.368227655606196e-06,-0.36862869494577605
209,55922.306421996254,8.569893107302166e-06,-0.36179160745885447
