Time,Temperature
2025-08-26 17:48:27.987440,23.1559
2025-08-26 17:48:28.977131,23.1567
2025-08-26 17:48:29.981769,23.1546
2025-08-26 17:48:30.987174,23.1579
2025-08-26 17:48:31.976868,23.1545
2025-08-26 17:48:32.981958,23.1552
2025-08-26 17:48:33.986598,23.1571
2025-08-26 17:48:34.992234,23.1554
2025-08-26 17:48:35.981923,23.1559
2025-08-26 17:48:36.986564,23.1556
2025-08-26 17:48:37.992200,23.1567
2025-08-26 17:48:38.981891,23.1569
2025-08-26 17:48:39.986530,23.1556
2025-08-26 17:48:40.992166,23.1575
2025-08-26 17:48:41.996620,23.1543
2025-08-26 17:48:42.986310,23.1545
2025-08-26 17:48:43.991946,23.1562
2025-08-26 17:48:44.996586,23.1526
2025-08-26 17:48:45.986278,23.1533
2025-08-26 17:48:46.991912,23.1556
2025-08-26 17:48:47.996621,23.1575
2025-08-26 17:48:49.001260,23.1537
2025-08-26 17:48:49.990950,23.1545
2025-08-26 17:48:50.996587,23.1559
2025-08-26 17:48:52.001583,23.1563
2025-08-26 17:48:52.991274,23.1565
2025-08-26 17:48:53.995909,23.1562
2025-08-26 17:48:55.001551,23.1546
2025-08-26 17:48:56.006358,23.155
2025-08-26 17:48:56.996049,23.1522
2025-08-26 17:48:58.000688,23.1552
2025-08-26 17:48:59.006320,23.1567
2025-08-26 17:48:59.996016,23.1548
2025-08-26 17:49:01.000654,23.1543
2025-08-26 17:49:02.006290,23.1539
2025-08-26 17:49:03.011340,23.1567
2025-08-26 17:49:04.001024,23.1563
2025-08-26 17:49:05.005668,23.1539
2025-08-26 17:49:06.011304,23.1546
2025-08-26 17:49:07.015944,23.1552
2025-08-26 17:49:08.005636,23.1552
2025-08-26 17:49:09.011270,23.1559
2025-08-26 17:49:10.015910,23.1558
2025-08-26 17:49:11.005471,23.1567
2025-08-26 17:49:12.011110,23.1545
2025-08-26 17:49:13.015797,23.1579
2025-08-26 17:49:14.005487,23.1548
2025-08-26 17:49:15.010127,23.1552
2025-08-26 17:49:16.015764,23.1558
2025-08-26 17:49:17.020405,23.1556
2025-08-26 17:49:18.010106,23.1552
2025-08-26 17:49:19.015552,23.1554
2025-08-26 17:49:20.020190,23.1562
2025-08-26 17:49:21.010878,23.1554
2025-08-26 17:49:22.015516,23.1554
2025-08-26 17:49:23.020155,23.1548
2025-08-26 17:49:24.025788,23.1556
2025-08-26 17:49:25.015482,23.1562
2025-08-26 17:49:26.020122,23.1539
2025-08-26 17:49:27.024758,23.1541
2025-08-26 17:49:28.015503,23.1539
2025-08-26 17:49:29.020143,23.1567
2025-08-26 17:49:30.024779,23.1556
2025-08-26 17:49:31.030408,23.1554
2025-08-26 17:49:32.020100,23.1562
2025-08-26 17:49:33.024738,23.1552
2025-08-26 17:49:34.030377,23.1565
2025-08-26 17:49:35.020064,23.1545
2025-08-26 17:49:36.024706,23.1537
2025-08-26 17:49:37.030343,23.1541
2025-08-26 17:49:38.034983,23.1559
2025-08-26 17:49:39.024433,23.1562
2025-08-26 17:49:40.030066,23.1531
2025-08-26 17:49:41.034709,23.1552
2025-08-26 17:49:42.024434,23.1546
2025-08-26 17:49:43.030066,23.1565
2025-08-26 17:49:44.034706,23.1569
2025-08-26 17:49:45.039350,23.1559
2025-08-26 17:49:46.029099,23.1558
2025-08-26 17:49:47.034732,23.155
2025-08-26 17:49:48.039376,23.1539
2025-08-26 17:49:49.029113,23.1558
2025-08-26 17:49:50.034754,23.1552
2025-08-26 17:49:51.039393,23.1552
2025-08-26 17:49:52.044034,23.1541
2025-08-26 17:49:53.034722,23.1548
2025-08-26 17:49:54.039360,23.1559
2025-08-26 17:49:55.043999,23.1556
2025-08-26 17:49:56.033744,23.1546
2025-08-26 17:49:57.039380,23.1552
2025-08-26 17:49:58.044022,23.1541
2025-08-26 17:49:59.048656,23.1545
2025-08-26 17:50:00.039347,23.1545
2025-08-26 17:50:01.043987,23.1552
2025-08-26 17:50:02.048628,23.1559
2025-08-26 17:50:03.039060,23.1552
2025-08-26 17:50:04.043694,23.1563
2025-08-26 17:50:05.049334,23.1563
2025-08-26 17:50:06.053974,23.1563
2025-08-26 17:50:07.043664,23.1559
2025-08-26 17:50:08.048304,23.1545
2025-08-26 17:50:09.053940,23.1558
2025-08-26 17:50:10.043630,23.1562
2025-08-26 17:50:11.048270,23.1569
2025-08-26 17:50:12.053906,23.1535
2025-08-26 17:50:13.043495,23.1559
2025-08-26 17:50:14.048135,23.1541
2025-08-26 17:50:15.053765,23.1545
2025-08-26 17:50:16.058409,23.1562
2025-08-26 17:50:17.048100,23.1582
2025-08-26 17:50:18.053736,23.1543
2025-08-26 17:50:19.058128,23.1543
2025-08-26 17:50:20.048816,23.1535
2025-08-26 17:50:21.053457,23.1559
2025-08-26 17:50:22.058095,23.1546
2025-08-26 17:50:23.063733,23.1539
2025-08-26 17:50:24.053417,23.1552
2025-08-26 17:50:25.058061,23.1556
2025-08-26 17:50:26.063697,23.1562
2025-08-26 17:50:27.053387,23.1558
2025-08-26 17:50:28.058026,23.1548
2025-08-26 17:50:29.062668,23.1571
2025-08-26 17:50:30.068303,23.1537
2025-08-26 17:50:31.058042,23.1559
2025-08-26 17:50:32.062681,23.1558
2025-08-26 17:50:33.068322,23.1556
2025-08-26 17:50:34.058011,23.1546
2025-08-26 17:50:35.063085,23.1548
2025-08-26 17:50:36.067725,23.1562
2025-08-26 17:50:37.072365,23.1552
2025-08-26 17:50:38.063051,23.1565
2025-08-26 17:50:39.067724,23.1558
2025-08-26 17:50:40.072364,23.1562
2025-08-26 17:50:41.063050,23.1559
2025-08-26 17:50:42.067692,23.1527
2025-08-26 17:50:43.072330,23.1545
2025-08-26 17:50:44.077963,23.1562
2025-08-26 17:50:45.067656,23.1535
2025-08-26 17:50:46.072105,23.155
2025-08-26 17:50:47.077744,23.1535
2025-08-26 17:50:48.067433,23.1552
2025-08-26 17:50:49.072073,23.1552
2025-08-26 17:50:50.077708,23.1545
2025-08-26 17:50:51.082411,23.1543
2025-08-26 17:50:52.072102,23.1537
2025-08-26 17:50:53.077737,23.1546
2025-08-26 17:50:54.082378,23.1545
2025-08-26 17:50:55.072068,23.155
2025-08-26 17:50:56.076756,23.155
2025-08-26 17:50:57.082394,23.1573
2025-08-26 17:50:58.087034,23.1533
2025-08-26 17:50:59.076724,23.1554
2025-08-26 17:51:00.082356,23.1575
2025-08-26 17:51:01.086754,23.1556
2025-08-26 17:51:02.077441,23.1527
2025-08-26 17:51:03.082079,23.1575
2025-08-26 17:51:04.086719,23.1554
2025-08-26 17:51:05.076410,23.1545
2025-08-26 17:51:06.082045,23.1554
2025-08-26 17:51:07.086685,23.1548
2025-08-26 17:51:08.091328,23.1545
2025-08-26 17:51:09.082012,23.1546
2025-08-26 17:51:10.086651,23.1548
2025-08-26 17:51:11.091347,23.155
2025-08-26 17:51:12.082034,23.1531
2025-08-26 17:51:13.086674,23.1548
2025-08-26 17:51:14.091308,23.1546
2025-08-26 17:51:15.097007,23.1535
2025-08-26 17:51:16.086697,23.155
2025-08-26 17:51:17.091337,23.1545
2025-08-26 17:51:18.095976,23.1552
2025-08-26 17:51:19.085908,23.1543
2025-08-26 17:51:20.091545,23.1541
2025-08-26 17:51:21.096184,23.1559
2025-08-26 17:51:22.100880,23.1556
2025-08-26 17:51:23.091567,23.1537
2025-08-26 17:51:24.096208,23.1545
2025-08-26 17:51:25.100849,23.1562
2025-08-26 17:51:26.091535,23.1563
2025-08-26 17:51:27.096173,23.1548
2025-08-26 17:51:28.100813,23.1535
2025-08-26 17:51:29.106451,23.1537
2025-08-26 17:51:30.096345,23.155
2025-08-26 17:51:31.100990,23.155
2025-08-26 17:51:32.105631,23.155
2025-08-26 17:51:33.096316,23.1558
2025-08-26 17:51:34.100955,23.1554
2025-08-26 17:51:35.105654,23.1533
2025-08-26 17:51:36.111291,23.1548
2025-08-26 17:51:37.101019,23.1548
2025-08-26 17:51:38.105681,23.155
2025-08-26 17:51:39.110321,23.1533
2025-08-26 17:51:40.101007,23.1579
2025-08-26 17:51:41.105645,23.1552
2025-08-26 17:51:42.110281,23.1571
2025-08-26 17:51:43.115918,23.1558
2025-08-26 17:51:44.105604,23.1543
2025-08-26 17:51:45.110248,23.1562
2025-08-26 17:51:46.115941,23.1545
2025-08-26 17:51:47.105630,23.1562
2025-08-26 17:51:48.110268,23.1548
2025-08-26 17:51:49.114909,23.1554
2025-08-26 17:51:50.120546,23.1533
2025-08-26 17:51:51.110237,23.1522
2025-08-26 17:51:52.114875,23.1554
2025-08-26 17:51:53.120512,23.1569
2025-08-26 17:51:54.110198,23.1569
2025-08-26 17:51:55.114841,23.1545
2025-08-26 17:51:56.120478,23.1543
2025-08-26 17:51:57.125120,23.1554
2025-08-26 17:51:58.114803,23.1546
2025-08-26 17:51:59.120445,23.1533
2025-08-26 17:52:00.125090,23.1548
2025-08-26 17:52:01.114780,23.1545
2025-08-26 17:52:02.120419,23.1563
2025-08-26 17:52:03.125060,23.1554
2025-08-26 17:52:04.129702,23.1558
2025-08-26 17:52:05.119458,23.1545
2025-08-26 17:52:06.125094,23.1546
2025-08-26 17:52:07.129737,23.1541
2025-08-26 17:52:08.119427,23.1539
2025-08-26 17:52:09.125060,23.1545
2025-08-26 17:52:10.129703,23.1543
2025-08-26 17:52:11.134404,23.1556
2025-08-26 17:52:12.125085,23.1573
2025-08-26 17:52:13.129724,23.1556
2025-08-26 17:52:14.134368,23.1545
2025-08-26 17:52:15.124054,23.1531
2025-08-26 17:52:16.129691,23.1562
2025-08-26 17:52:17.134336,23.1562
2025-08-26 17:52:18.139971,23.1533
2025-08-26 17:52:19.129877,23.1541
2025-08-26 17:52:20.134511,23.1554
2025-08-26 17:52:21.139154,23.1539
2025-08-26 17:52:22.128846,23.155
2025-08-26 17:52:23.134182,23.1559
2025-08-26 17:52:24.138819,23.155
2025-08-26 17:52:25.144459,23.1529
2025-08-26 17:52:26.134150,23.1558
2025-08-26 17:52:27.138842,23.1533
2025-08-26 17:52:28.144478,23.1548
2025-08-26 17:52:29.134165,23.1546
2025-08-26 17:52:30.138808,23.1552
2025-08-26 17:52:31.143501,23.1545
2025-08-26 17:52:32.149138,23.1571
2025-08-26 17:52:33.138830,23.1545
2025-08-26 17:52:34.144360,23.1559
2025-08-26 17:52:35.148998,23.1552
2025-08-26 17:52:36.138688,23.1554
2025-08-26 17:52:37.143329,23.1558
2025-08-26 17:52:38.148964,23.1539
2025-08-26 17:52:39.138650,23.1563
2025-08-26 17:52:40.143296,23.1535
2025-08-26 17:52:41.148930,23.1539
2025-08-26 17:52:42.153570,23.155
2025-08-26 17:52:43.143256,23.1559
2025-08-26 17:52:44.148896,23.1543
2025-08-26 17:52:45.153532,23.1548
2025-08-26 17:52:46.143229,23.1543
2025-08-26 17:52:47.148860,23.1546
2025-08-26 17:52:48.153502,23.1546
2025-08-26 17:52:49.158143,23.1567
2025-08-26 17:52:50.147884,23.1552
2025-08-26 17:52:51.153524,23.1559
2025-08-26 17:52:52.158165,23.1545
2025-08-26 17:52:53.147855,23.1554
2025-08-26 17:52:54.153487,23.1545
2025-08-26 17:52:55.158130,23.1548
2025-08-26 17:52:56.162770,23.1543
2025-08-26 17:52:57.153459,23.1545
2025-08-26 17:52:58.158096,23.1531
2025-08-26 17:52:59.162736,23.1543
2025-08-26 17:53:00.153477,23.1545
2025-08-26 17:53:01.158117,23.1548
2025-08-26 17:53:02.162759,23.1535
2025-08-26 17:53:03.168395,23.1563
2025-08-26 17:53:04.158083,23.1543
2025-08-26 17:53:05.162726,23.1541
2025-08-26 17:53:06.167444,23.1546
2025-08-26 17:53:07.158133,23.1546
2025-08-26 17:53:08.162773,23.1531
2025-08-26 17:53:09.167409,23.1526
2025-08-26 17:53:10.173112,23.1556
2025-08-26 17:53:11.162801,23.1552
2025-08-26 17:53:12.167442,23.1559
2025-08-26 17:53:13.172081,23.1554
2025-08-26 17:53:14.162768,23.1537
2025-08-26 17:53:15.167410,23.1546
2025-08-26 17:53:16.172117,23.1565
2025-08-26 17:53:17.177755,23.1552
2025-08-26 17:53:18.167445,23.1559
2025-08-26 17:53:19.172083,23.1554
2025-08-26 17:53:20.177606,23.1546
2025-08-26 17:53:21.167293,23.155
2025-08-26 17:53:22.171928,23.1567
2025-08-26 17:53:23.177572,23.1539
2025-08-26 17:53:24.182212,23.1556
2025-08-26 17:53:25.171899,23.155
2025-08-26 17:53:26.177537,23.1554
2025-08-26 17:53:27.182176,23.1554
2025-08-26 17:53:28.171866,23.1539
2025-08-26 17:53:29.177504,23.1537
2025-08-26 17:53:30.182142,23.1546
2025-08-26 17:53:31.186850,23.1533
2025-08-26 17:53:32.176542,23.155
2025-08-26 17:53:33.182176,23.1563
2025-08-26 17:53:34.186818,23.155
2025-08-26 17:53:35.176569,23.1565
2025-08-26 17:53:36.182204,23.155
2025-08-26 17:53:37.186845,23.1554
2025-08-26 17:53:38.191485,23.1565
2025-08-26 17:53:39.181174,23.1545
2025-08-26 17:53:40.186805,23.152
2025-08-26 17:53:41.191450,23.1541
2025-08-26 17:53:42.181139,23.1548
2025-08-26 17:53:43.186775,23.1526
2025-08-26 17:53:44.191411,23.1546
2025-08-26 17:53:45.196057,23.155
2025-08-26 17:53:46.186738,23.155
2025-08-26 17:53:47.191381,23.1558
2025-08-26 17:53:48.196021,23.1552
2025-08-26 17:53:49.186708,23.1559
2025-08-26 17:53:50.191344,23.1565
2025-08-26 17:53:51.195983,23.1546
2025-08-26 17:53:52.201625,23.155
2025-08-26 17:53:53.191316,23.1543
2025-08-26 17:53:54.195956,23.1558
2025-08-26 17:53:55.201591,23.1556
2025-08-26 17:53:56.191282,23.1573
2025-08-26 17:53:57.196034,23.1556
2025-08-26 17:53:58.200675,23.155
2025-08-26 17:53:59.206310,23.1541
2025-08-26 17:54:00.196002,23.1567
2025-08-26 17:54:01.200643,23.1548
2025-08-26 17:54:02.206277,23.1562
2025-08-26 17:54:03.195963,23.1535
2025-08-26 17:54:04.200607,23.1539
2025-08-26 17:54:05.206245,23.1535
2025-08-26 17:54:06.210885,23.1537
2025-08-26 17:54:07.200573,23.1556
2025-08-26 17:54:08.205283,23.1548
2025-08-26 17:54:09.210917,23.1531
2025-08-26 17:54:10.200716,23.1552
2025-08-26 17:54:11.205350,23.1543
2025-08-26 17:54:12.210990,23.1548
2025-08-26 17:54:13.215630,23.1522
2025-08-26 17:54:14.205320,23.1543
2025-08-26 17:54:15.209962,23.1546
2025-08-26 17:54:16.215597,23.1552
2025-08-26 17:54:17.205287,23.1554
2025-08-26 17:54:18.209922,23.1559
2025-08-26 17:54:19.215559,23.1556
2025-08-26 17:54:20.205252,23.1559
2025-08-26 17:54:21.209892,23.1543
2025-08-26 17:54:22.215529,23.1546
2025-08-26 17:54:23.220168,23.1569
2025-08-26 17:54:24.209899,23.1558
2025-08-26 17:54:25.215532,23.1559
2025-08-26 17:54:26.220175,23.1541
2025-08-26 17:54:27.209867,23.1559
2025-08-26 17:54:28.215502,23.1546
2025-08-26 17:54:29.220141,23.1554
2025-08-26 17:54:30.224837,23.1535
2025-08-26 17:54:31.214531,23.1531
2025-08-26 17:54:32.220169,23.155
2025-08-26 17:54:33.224807,23.1539
2025-08-26 17:54:34.214500,23.1543
2025-08-26 17:54:35.220185,23.1546
2025-08-26 17:54:36.224823,23.1562
2025-08-26 17:54:37.229458,23.155
2025-08-26 17:54:38.220149,23.1539
2025-08-26 17:54:39.225125,23.1552
2025-08-26 17:54:40.229769,23.1573
2025-08-26 17:54:41.219458,23.1546
2025-08-26 17:54:42.224100,23.1556
2025-08-26 17:54:43.229789,23.1556
2025-08-26 17:54:44.234431,23.1543
2025-08-26 17:54:45.224122,23.1543
2025-08-26 17:54:46.229753,23.1537
2025-08-26 17:54:47.234396,23.1569
2025-08-26 17:54:48.224088,23.1545
2025-08-26 17:54:49.229786,23.1567
2025-08-26 17:54:50.234426,23.1567
2025-08-26 17:54:51.239066,23.1537
2025-08-26 17:54:52.228752,23.1558
2025-08-26 17:54:53.234389,23.1569
2025-08-26 17:54:54.239032,23.1559
2025-08-26 17:54:55.228781,23.1541
2025-08-26 17:54:56.234418,23.1559
2025-08-26 17:54:57.239057,23.1545
2025-08-26 17:54:58.243698,23.1556
2025-08-26 17:54:59.234384,23.1565
2025-08-26 17:55:00.239023,23.1546
2025-08-26 17:55:01.243665,23.1543
2025-08-26 17:55:02.234052,23.1541
2025-08-26 17:55:03.238687,23.1531
2025-08-26 17:55:04.244322,23.1545
2025-08-26 17:55:05.248966,23.1558
2025-08-26 17:55:06.238657,23.1543
2025-08-26 17:55:07.243296,23.1541
2025-08-26 17:55:08.248987,23.1529
2025-08-26 17:55:09.238681,23.1573
2025-08-26 17:55:10.243321,23.155
2025-08-26 17:55:11.248957,23.1573
2025-08-26 17:55:12.253654,23.1565
2025-08-26 17:55:13.243344,23.1548
2025-08-26 17:55:14.247980,23.1539
2025-08-26 17:55:15.253621,23.1554
2025-08-26 17:55:16.243311,23.1541
2025-08-26 17:55:17.247952,23.1567
2025-08-26 17:55:18.253638,23.1556
2025-08-26 17:55:19.258280,23.1565
2025-08-26 17:55:20.247963,23.155
2025-08-26 17:55:21.253604,23.1556
2025-08-26 17:55:22.258243,23.1548
2025-08-26 17:55:23.247930,23.1548
2025-08-26 17:55:24.253570,23.1559
2025-08-26 17:55:25.258210,23.1556
2025-08-26 17:55:26.262852,23.1545
2025-08-26 17:55:27.252539,23.1558
2025-08-26 17:55:28.258388,23.1535
2025-08-26 17:55:29.263028,23.1558
2025-08-26 17:55:30.252716,23.1548
2025-08-26 17:55:31.258348,23.1531
2025-08-26 17:55:32.262993,23.1556
2025-08-26 17:55:33.267634,23.1548
2025-08-26 17:55:34.257318,23.1539
2025-08-26 17:55:35.262789,23.1548
2025-08-26 17:55:36.267428,23.1533
2025-08-26 17:55:37.258113,23.1562
2025-08-26 17:55:38.262813,23.1535
2025-08-26 17:55:39.267454,23.1563
2025-08-26 17:55:40.273089,23.1546
2025-08-26 17:55:41.262778,23.1567
2025-08-26 17:55:42.267415,23.1548
2025-08-26 17:55:43.272501,23.1546
2025-08-26 17:55:44.262189,23.158
2025-08-26 17:55:45.267881,23.1543
2025-08-26 17:55:46.272516,23.1565
2025-08-26 17:55:47.262210,23.155
2025-08-26 17:55:48.266850,23.1537
2025-08-26 17:55:49.272481,23.1558
2025-08-26 17:55:50.277173,23.1543
2025-08-26 17:55:51.266867,23.1543
2025-08-26 17:55:52.272499,23.1548
2025-08-26 17:55:53.277145,23.1563
2025-08-26 17:55:54.266836,23.1545
2025-08-26 17:55:55.272471,23.155
2025-08-26 17:55:56.277110,23.1545
2025-08-26 17:55:57.281749,23.1539
2025-08-26 17:55:58.272432,23.155
2025-08-26 17:55:59.277132,23.1565
2025-08-26 17:56:00.281772,23.1569
2025-08-26 17:56:01.271462,23.1562
2025-08-26 17:56:02.277098,23.1543
2025-08-26 17:56:03.281740,23.1548
2025-08-26 17:56:04.286374,23.1541
2025-08-26 17:56:05.277064,23.1556
2025-08-26 17:56:06.281573,23.1529
2025-08-26 17:56:07.286213,23.1554
2025-08-26 17:56:08.276899,23.1559
2025-08-26 17:56:09.281538,23.1548
