Frequency_Hz,Amplitude_d1,Phase_rad_d1
61071.2977076218,2.57800301913118e-05,-0.3247741915228501
61077.26929943803,2.6039359274565694e-05,-0.3068501263392433
61083.24147516045,2.571578570724334e-05,-0.32835679539834084
61089.21423484616,2.6329270612695546e-05,-0.34955460238947933
61095.18757855225,2.5909722278871077e-05,-0.3083001981643199
61101.16150633583,2.5658537486643948e-05,-0.34286932550320837
61107.13601825402,2.6216328069159286e-05,-0.33821868068262445
61113.11111436393,2.5168891927217634e-05,-0.34449841954631844
61119.08679472268,2.696820133873021e-05,-0.3024492082227998
61125.0630593874,2.6445870494138918e-05,-0.34175108786085623
61131.03990841523,2.5552844288967252e-05,-0.268768950100496
61137.017341863306,2.7536187790764532e-05,-0.32517584476738104
61142.995359788765,2.609479846970892e-05,-0.3314927252328591
61148.973962248645,2.617205102390992e-05,-0.2818522511506612
61154.95314930034,2.605911196693048e-05,-0.3063127335136672
61160.932921000895,2.7606991792597427e-05,-0.29720711463496174
61166.91327740748,2.7008514108869537e-05,-0.3372339198256161
61172.89421857726,2.6203951536506208e-05,-0.3199658150480058
61178.87574456741,2.6370645154474545e-05,-0.36160965139547635
61184.85785543513,2.6872957771205003e-05,-0.33276979887013675
61190.840551237605,2.64975483205336e-05,-0.3259483062772478
61196.823832032016,2.6456125238805358e-05,-0.33205272886407206
61202.80769787558,2.6845808757345207e-05,-0.3410225246605627
61208.792148825494,2.620041563961903e-05,-0.34859438987578484
61214.777184938976,2.6390256500533636e-05,-0.28534929302364426
61220.76280627312,2.6490727523432586e-05,-0.3540730461546189
61226.74901288538,2.6732367263174758e-05,-0.31127988499433573
61232.73580483289,2.5860330442584025e-05,-0.27304457279689476
61238.723182172864,2.613254228471339e-05,-0.36262159079410305
61244.71114496255,2.6257920174866123e-05,-0.3491977906115838
61250.699693259194,2.5932395209517708e-05,-0.2940619689292264
61256.68882712004,2.6599597347411207e-05,-0.29779550774419017
61262.67854660235,2.7190544313157673e-05,-0.32303259792714756
61268.66885176339,2.6281671773971426e-05,-0.31422970520625393
61274.65974266042,2.6664994447908346e-05,-0.3088769138514343
61280.651219350715,2.6752449704852076e-05,-0.33539487933617185
61286.643281891564,2.6169221015580145e-05,-0.3278924809071206
61292.63593034024,2.5733280632271625e-05,-0.33292670784609474
61298.62916475392,2.6714048863780774e-05,-0.3272073797221864
61304.62298519014,2.6522848675123613e-05,-0.31702241152695226
61310.61739170607,2.639300336966373e-05,-0.3195318666613718
61316.61238435904,2.6089226219675537e-05,-0.37598814204730197
61322.60796320635,2.732420634261398e-05,-0.32027799192210676
61328.60412830531,2.6466836886817106e-05,-0.3232668808945976
61334.60087971326,2.58237686990823e-05,-0.3298691401305154
61340.598217487524,2.6009257855394027e-05,-0.3727615184179833
61346.59614168543,2.616870146288103e-05,-0.317549796653267
61352.59465236433,2.6122817669033486e-05,-0.3309619853019315
61358.59374958156,2.6358425020956232e-05,-0.3514428070158129
61364.593433394475,2.7469664091983398e-05,-0.3316791438906687
61370.593703860315,2.694618009256347e-05,-0.32349563201583004
61376.59456103669,2.577141198821273e-05,-0.34843218679067434
61382.596004980835,2.6195241982002018e-05,-0.2871103166921103
61388.59803575014,2.616853147911461e-05,-0.32529735594119835
61394.60065340197,2.6443347792962287e-05,-0.3360233236963875
61400.60385799372,2.6255068016619604e-05,-0.33379843772348605
61406.60764958278,2.671186818887336e-05,-0.31327848121962576
61412.61202822655,2.638180438132304e-05,-0.29484753784027073
61418.616993982425,2.6545887698686098e-05,-0.35415080042065283
61424.62254690781,2.6324531858723147e-05,-0.33356916081706944
61430.62868706013,2.710889381568371e-05,-0.3453417938639021
61436.635414496806,2.7336224593356117e-05,-0.28468991197401444
61442.64272927525,2.554657179422155e-05,-0.31367781378787146
61448.65063145278,2.5594801774948936e-05,-0.29125181176517184
61454.659121087076,2.6509304877789443e-05,-0.3101472312700776
61460.66819823545,2.539338909261077e-05,-0.30251708722866844
61466.67786295536,2.69984875631417e-05,-0.3268333261744879
61472.688115304256,2.7667660291011484e-05,-0.3363196364096158
61478.69895533959,2.6198257606887918e-05,-0.319692078880493
61484.710383118836,2.6951612813026435e-05,-0.33612795432790055
61490.722398699465,2.6486584504599117e-05,-0.3056615553909662
61496.735002138936,2.7068753730667146e-05,-0.3211017663693545
61502.74819349475,2.708810297595557e-05,-0.3120040610830787
61508.76197282438,2.7204807149435843e-05,-0.38801463087659593
61514.77634018533,2.7551704035232664e-05,-0.3493494495760046
61520.79129563496,2.639136670198339e-05,-0.31840757112087664
61526.80683923104,2.6721464388979877e-05,-0.3503689029905956
61532.82297103093,2.667325352548526e-05,-0.32735103910206986
61538.83969109217,2.6987041996487025e-05,-0.3673209950528706
61544.85699947227,2.7027286069023407e-05,-0.3309404979678465
61550.87489622876,2.700230967673784e-05,-0.3541618096502448
61556.89338141916,2.6971557930118226e-05,-0.3299372062168056
61562.912455101025,2.6136998175276472e-05,-0.3096008944110908
61568.93211733188,2.6851173808746334e-05,-0.31347733782577336
61574.95236816929,2.73736933625583e-05,-0.36368366564785215
61580.9732076708,2.7315931603336034e-05,-0.33348234819767275
61586.99463589397,2.679296700095493e-05,-0.300780192931983
61593.01665289637,2.6607652909643015e-05,-0.3506784522558237
61599.03925873544,2.6486019191020006e-05,-0.36638696311124985
61605.062453469014,2.7489619626031887e-05,-0.3584340375208741
61611.08623715455,2.762421767676616e-05,-0.3104076144898184
61617.11060984963,2.6543278070762315e-05,-0.33293670970242717
61623.13557161185,2.700561607930389e-05,-0.29896920383590386
61629.16112249881,2.6976115982563435e-05,-0.30086604889684027
61635.187262568106,2.828744752490754e-05,-0.3263950873288193
61641.21399187737,2.7374075695994265e-05,-0.33386923604529106
61647.2413104842,2.8274041309497266e-05,-0.3152483754800082
61653.26921844622,2.7112896614522215e-05,-0.3471279247589092
61659.29771582106,2.71615386712739e-05,-0.34789979853268105
61665.32680266636,2.7886952801048295e-05,-0.32509488038712425
61671.35647903963,2.7424032198148512e-05,-0.3076794093064401
61677.38674499875,2.6470761283953146e-05,-0.3608822759168074
61683.41760060127,2.6492656390157153e-05,-0.36815340185426837
61689.449045904825,2.84217064736242e-05,-0.3405626600282138
61695.48108096709,2.7537311396729485e-05,-0.30500272796609557
61701.513705845726,2.7671877892204336e-05,-0.3818436285036576
61707.546920598405,2.8735157162232486e-05,-0.340607810614178
61713.5807252828,2.892389086688071e-05,-0.3442234478016116
61719.61511995661,2.7115630038636206e-05,-0.32518814478490105
61725.65010467751,2.7518484845131806e-05,-0.3153961532967944
61731.68567950321,2.7787901347895396e-05,-0.31752807628245117
61737.72184449139,2.6960766788509396e-05,-0.3418319975694428
61743.75859969977,2.856738822081702e-05,-0.3452325568694161
