Frequency_Hz,Amplitude_d1,Phase_rad_d1
60524.40157574772,3.3471291701342285e-05,-0.38727661643761896
60530.31969169905,3.5482203889457655e-05,-0.36677081994834665
60536.23838632766,3.395756966890319e-05,-0.3667135823890355
60542.15765969015,3.466151628123247e-05,-0.3730314967478405
60548.0775118431,3.4855818384164755e-05,-0.40020430314390826
60553.997942842965,3.390931054673795e-05,-0.3739162113606057
60559.918952746615,3.382330511447157e-05,-0.360726577983129
60565.84054161052,3.3898992423338766e-05,-0.3962000621285572
60571.7627094913,3.399943211567465e-05,-0.36520817743945677
60577.68545644556,3.447235819041521e-05,-0.3534025401219418
60583.608782529926,3.358669671531978e-05,-0.35582991052457436
60589.53268780103,3.335038491468989e-05,-0.3712824396187417
60595.45717231551,3.405388564051728e-05,-0.35994750177942764
60601.38223612999,3.4812306911932403e-05,-0.37443652558151314
60607.30787930112,3.363767929715695e-05,-0.3765576866731084
60613.23410188556,3.427721600707099e-05,-0.34699151459506333
60619.160903939955,3.44602431622035e-05,-0.3709475866268489
60625.08828552097,3.461604945391661e-05,-0.370466295760056
60631.01624668514,3.4584484784346875e-05,-0.35887933742672895
60636.944787489396,3.3684966124503605e-05,-0.38277335570696247
60642.87390799029,3.428916594141097e-05,-0.3589778187367355
60648.80360824449,3.445168758275293e-05,-0.38768715340717785
60654.73388830871,3.44246258373524e-05,-0.37314518921182666
60660.66474823962,3.452846555416731e-05,-0.37158710129525574
60666.596188093936,3.458290399156714e-05,-0.3812763819137872
60672.52820792835,3.3790653689719955e-05,-0.389191294859774
60678.46080779959,3.341169561370129e-05,-0.350652190466069
60684.39398776436,3.464959006921237e-05,-0.3529617943124779
60690.32774787938,3.4785878450621374e-05,-0.37991585175435705
60696.26208820139,3.510695771480707e-05,-0.36480195415299466
60702.197008786985,3.4508836417021245e-05,-0.3903015927144488
60708.132509693154,3.4729235395746887e-05,-0.3519642247749108
60714.06859097653,3.4676385518270876e-05,-0.363412402123625
60720.00525269385,3.4587501639165814e-05,-0.36104868042914245
60725.94249490187,3.472181766335498e-05,-0.369060052602515
60731.88031765736,3.397572371406634e-05,-0.35833023732040825
60737.81872101707,3.535482083769967e-05,-0.37711003811472266
60743.757705037795,3.407308299610547e-05,-0.34317458151851743
60749.69726977629,3.4440915214734086e-05,-0.38467641093959193
60755.63741528935,3.445659661097823e-05,-0.36539706054527493
60761.578141633756,3.406700685252018e-05,-0.388828046153957
60767.51944886631,3.422888696341994e-05,-0.34742474176811877
60773.461337043685,3.455318658335128e-05,-0.3839952214724991
60779.40380622294,3.452796221423433e-05,-0.392261921361354
60785.34685646075,3.41463524661113e-05,-0.36840359055233074
60791.29048781393,3.4523489011262454e-05,-0.364821830304444
60797.234700339315,3.4647742615827896e-05,-0.38270092857346577
60803.179494093725,3.392696984190649e-05,-0.36380373777578034
60809.12486913399,3.462542390198171e-05,-0.3769743786349088
60815.07082551696,3.409910775943061e-05,-0.37792946650736725
60821.01736329946,3.461927478974868e-05,-0.3844658656620072
60826.964482538366,3.455143269284774e-05,-0.36589602921573633
60832.91218329051,3.444043984996362e-05,-0.3747344771906362
60838.86046561276,3.4164231314214785e-05,-0.3839190781883952
